id,Team1,Team2,match_date,Season_Year,Venue_Name,City_Name,Country_Name,Toss_Winner,match_winner,Toss_Name,Win_Type,Outcome_Type,ManOfMach,Win_Margin
387,Mumbai Indians,Rajasthan Royals,5/15/2013,2013,Wankhede Stadium,Mumbai,India,Rajasthan Royals,Mumbai Indians,field,runs,Result,AP Tare,14
388,Kings XI Punjab,Royal Challengers Bangalore,05-06-2013,2013,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,Kings XI Punjab,Kings XI Punjab,field,wickets,Result,DA Miller,6
389,Sunrisers Hyderabad,Rajasthan Royals,5/17/2013,2013,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,runs,Result,A Mishra,23
390,Kings XI Punjab,Mumbai Indians,5/18/2013,2013,Himachal Pradesh Cricket Association Stadium,Dharamsala,India,Mumbai Indians,Kings XI Punjab,field,runs,Result,Azhar Mahmood,50
391,Pune Warriors,Delhi Daredevils,5/19/2013,2013,Subrata Roy Sahara Stadium,Pune,India,Pune Warriors,Pune Warriors,bat,runs,Result,LJ Wright,38
392,Royal Challengers Bangalore,Chennai Super Kings,5/18/2013,2013,M Chinnaswamy Stadium,Bangalore,India,Chennai Super Kings,Royal Challengers Bangalore,field,runs,Result,V Kohli,24
393,Sunrisers Hyderabad,Kolkata Knight Riders,5/19/2013,2013,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,Kolkata Knight Riders,Sunrisers Hyderabad,bat,wickets,Result,PA Patel,5
394,Chennai Super Kings,Mumbai Indians,5/21/2013,2013,Feroz Shah Kotla,Delhi,India,Chennai Super Kings,Chennai Super Kings,bat,runs,Result,MEK Hussey,48
395,Rajasthan Royals,Sunrisers Hyderabad,5/22/2013,2013,Feroz Shah Kotla,Delhi,India,Sunrisers Hyderabad,Rajasthan Royals,bat,wickets,Result,BJ Hodge,4
396,Mumbai Indians,Rajasthan Royals,5/24/2013,2013,Eden Gardens,Kolkata,India,Rajasthan Royals,Mumbai Indians,bat,wickets,Result,Harbhajan Singh,4
397,Chennai Super Kings,Mumbai Indians,5/26/2013,2013,Eden Gardens,Kolkata,India,Mumbai Indians,Mumbai Indians,bat,runs,Result,KA Pollard,23
398,Mumbai Indians,Kolkata Knight Riders,4/16/2014,2014,Sheikh Zayed Stadium,Abu Dhabi,U.A.E,Kolkata Knight Riders,Kolkata Knight Riders,bat,runs,Result,JH Kallis,41
399,Delhi Daredevils,Royal Challengers Bangalore,4/17/2014,2014,Sharjah Cricket Stadium,Abu Dhabi,U.A.E,Royal Challengers Bangalore,Royal Challengers Bangalore,field,wickets,Result,YS Chahal,8
400,Chennai Super Kings,Kings XI Punjab,4/18/2014,2014,Sheikh Zayed Stadium,Abu Dhabi,U.A.E,Chennai Super Kings,Kings XI Punjab,bat,wickets,Result,GJ Maxwell,6
401,Sunrisers Hyderabad,Rajasthan Royals,4/18/2014,2014,Sheikh Zayed Stadium,Abu Dhabi,U.A.E,Rajasthan Royals,Rajasthan Royals,field,wickets,Result,AM Rahane,4
402,Royal Challengers Bangalore,Mumbai Indians,4/19/2014,2014,Dubai International Cricket Stadium,Abu Dhabi,U.A.E,Royal Challengers Bangalore,Royal Challengers Bangalore,field,wickets,Result,PA Patel,7
403,Kolkata Knight Riders,Delhi Daredevils,4/19/2014,2014,Dubai International Cricket Stadium,Abu Dhabi,U.A.E,Kolkata Knight Riders,Delhi Daredevils,bat,wickets,Result,JP Duminy,4
404,Rajasthan Royals,Kings XI Punjab,4/20/2014,2014,Sharjah Cricket Stadium,Abu Dhabi,U.A.E,Kings XI Punjab,Kings XI Punjab,field,wickets,Result,GJ Maxwell,7
405,Chennai Super Kings,Delhi Daredevils,4/21/2014,2014,Sheikh Zayed Stadium,Abu Dhabi,U.A.E,Chennai Super Kings,Chennai Super Kings,bat,runs,Result,SK Raina,93
406,Kings XI Punjab,Sunrisers Hyderabad,4/22/2014,2014,Sharjah Cricket Stadium,Abu Dhabi,U.A.E,Sunrisers Hyderabad,Kings XI Punjab,field,runs,Result,GJ Maxwell,72
407,Rajasthan Royals,Chennai Super Kings,4/23/2014,2014,Dubai International Cricket Stadium,Abu Dhabi,U.A.E,Rajasthan Royals,Chennai Super Kings,field,runs,Result,RA Jadeja,7
408,Royal Challengers Bangalore,Kolkata Knight Riders,4/24/2014,2014,Sharjah Cricket Stadium,Abu Dhabi,U.A.E,Royal Challengers Bangalore,Kolkata Knight Riders,field,runs,Result,CA Lynn,2
409,Sunrisers Hyderabad,Delhi Daredevils,4/25/2014,2014,Dubai International Cricket Stadium,Abu Dhabi,U.A.E,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,runs,Result,AJ Finch,4
410,Chennai Super Kings,Mumbai Indians,4/25/2014,2014,Dubai International Cricket Stadium,Abu Dhabi,U.A.E,Mumbai Indians,Chennai Super Kings,bat,wickets,Result,MM Sharma,7
411,Rajasthan Royals,Royal Challengers Bangalore,4/26/2014,2014,Sheikh Zayed Stadium,Abu Dhabi,U.A.E,Rajasthan Royals,Rajasthan Royals,field,wickets,Result,PV Tambe,6
412,Kolkata Knight Riders,Kings XI Punjab,4/26/2014,2014,Sheikh Zayed Stadium,Abu Dhabi,U.A.E,Kolkata Knight Riders,Kings XI Punjab,field,runs,Result,Sandeep Sharma,23
413,Delhi Daredevils,Mumbai Indians,4/27/2014,2014,Sharjah Cricket Stadium,Abu Dhabi,U.A.E,Mumbai Indians,Delhi Daredevils,bat,wickets,Result,M Vijay,6
414,Sunrisers Hyderabad,Chennai Super Kings,4/27/2014,2014,Sharjah Cricket Stadium,Abu Dhabi,U.A.E,Sunrisers Hyderabad,Chennai Super Kings,bat,wickets,Result,DR Smith,5
415,Kings XI Punjab,Royal Challengers Bangalore,4/28/2014,2014,Dubai International Cricket Stadium,Abu Dhabi,U.A.E,Kings XI Punjab,Kings XI Punjab,field,wickets,Result,Sandeep Sharma,5
416,Kolkata Knight Riders,Rajasthan Royals,4/29/2014,2014,Sheikh Zayed Stadium,Abu Dhabi,U.A.E,Rajasthan Royals,Rajasthan Royals,bat,Tie,Superover,JP Faulkner,NULL
417,Mumbai Indians,Sunrisers Hyderabad,4/30/2014,2014,Dubai International Cricket Stadium,Abu Dhabi,U.A.E,Mumbai Indians,Sunrisers Hyderabad,field,runs,Result,B Kumar,15
418,Chennai Super Kings,Kolkata Knight Riders,05-02-2014,2014,JSCA International Stadium Complex,Ranchi,India,Chennai Super Kings,Chennai Super Kings,bat,runs,Result,RA Jadeja,34
419,Mumbai Indians,Kings XI Punjab,05-03-2014,2014,Wankhede Stadium,Mumbai,India,Kings XI Punjab,Mumbai Indians,bat,wickets,Result,CJ Anderson,5
420,Delhi Daredevils,Rajasthan Royals,05-03-2014,2014,Feroz Shah Kotla,Delhi,India,Rajasthan Royals,Rajasthan Royals,field,wickets,Result,KK Nair,7
421,Royal Challengers Bangalore,Sunrisers Hyderabad,05-04-2014,2014,M Chinnaswamy Stadium,Bangalore,India,Royal Challengers Bangalore,Royal Challengers Bangalore,field,wickets,Result,AB de Villiers,4
422,Rajasthan Royals,Kolkata Knight Riders,05-05-2014,2014,"Sardar Patel Stadium, Motera",Ahmedabad,India,Kolkata Knight Riders,Rajasthan Royals,field,runs,Result,PV Tambe,10
423,Delhi Daredevils,Chennai Super Kings,05-05-2014,2014,Feroz Shah Kotla,Delhi,India,Chennai Super Kings,Chennai Super Kings,field,wickets,Result,DR Smith,8
424,Mumbai Indians,Royal Challengers Bangalore,05-06-2014,2014,Wankhede Stadium,Mumbai,India,Royal Challengers Bangalore,Mumbai Indians,field,runs,Result,RG Sharma,19
425,Delhi Daredevils,Kolkata Knight Riders,05-07-2014,2014,Feroz Shah Kotla,Delhi,India,Delhi Daredevils,Kolkata Knight Riders,bat,wickets,Result,G Gambhir,8
426,Kings XI Punjab,Chennai Super Kings,05-07-2014,2014,Barabati Stadium,Cuttack,India,Chennai Super Kings,Kings XI Punjab,field,runs,Result,GJ Maxwell,44
427,Rajasthan Royals,Sunrisers Hyderabad,05-08-2014,2014,"Sardar Patel Stadium, Motera",Ahmedabad,India,Rajasthan Royals,Sunrisers Hyderabad,field,runs,Result,B Kumar,32
428,Royal Challengers Bangalore,Kings XI Punjab,05-09-2014,2014,M Chinnaswamy Stadium,Bangalore,India,Royal Challengers Bangalore,Kings XI Punjab,field,runs,Result,Sandeep Sharma,32
429,Delhi Daredevils,Sunrisers Hyderabad,05-10-2014,2014,Feroz Shah Kotla,Delhi,India,Sunrisers Hyderabad,Sunrisers Hyderabad,field,wickets,Result,DW Steyn,8
430,Mumbai Indians,Chennai Super Kings,05-10-2014,2014,Wankhede Stadium,Mumbai,India,Chennai Super Kings,Chennai Super Kings,field,wickets,Result,DR Smith,4
431,Kings XI Punjab,Kolkata Knight Riders,05-11-2014,2014,Barabati Stadium,Cuttack,India,Kolkata Knight Riders,Kolkata Knight Riders,field,wickets,Result,G Gambhir,9
432,Royal Challengers Bangalore,Rajasthan Royals,05-11-2014,2014,M Chinnaswamy Stadium,Bangalore,India,Royal Challengers Bangalore,Rajasthan Royals,bat,wickets,Result,JP Faulkner,5
433,Sunrisers Hyderabad,Mumbai Indians,05-12-2014,2014,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,Sunrisers Hyderabad,Mumbai Indians,bat,wickets,Result,AT Rayudu,7
